"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1355","belgium","antwerp","2020-05-27",31026441,"Theaterbuurt-Meir",51.21876,4.41344,"House","Private room",7,3,7,130,1,1125,0
"1356","belgium","antwerp","2020-05-27",31036020,"Universiteitsbuurt",51.22169,4.41243,"Apartment","Entire home/apt",3,1,1,80,1,1125,0
"1357","belgium","antwerp","2020-05-27",31050843,"Historisch Centrum",51.22057,4.40056,"Apartment","Entire home/apt",4,2,3,165,2,1125,0
"1358","belgium","antwerp","2020-05-27",31055825,"Markgrave",51.19626,4.40182,"Apartment","Entire home/apt",2,1,1,90,2,5,23
"1359","belgium","antwerp","2020-05-27",31064604,"Harmonie",51.20074,4.40963,"Apartment","Entire home/apt",2,1,2,50,5,1125,0
"1360","belgium","antwerp","2020-05-27",31068351,"Borgerhout Intra Muros Noord",51.21773,4.43097,"Loft","Entire home/apt",2,0,0,45,3,1125,29
"1361","belgium","antwerp","2020-05-27",31069827,"Dam",51.23537,4.42989,"Boat","Private room",2,1,1,25,2,10,0
"1362","belgium","antwerp","2020-05-27",31071170,"Stuivenberg",51.2271,4.42761,"Apartment","Entire home/apt",2,1,1,45,1,1125,0
"1363","belgium","antwerp","2020-05-27",31087775,"Amandus - Atheneum",51.22437,4.41871,"Apartment","Entire home/apt",5,1,5,70,1,1125,0
"1364","belgium","antwerp","2020-05-27",31130575,"Universiteitsbuurt",51.22143,4.41035,"Apartment","Entire home/apt",8,3,5,160,2,1125,25
"1365","belgium","antwerp","2020-05-27",31165500,"Centraal Station",51.21938,4.41685,"Apartment","Entire home/apt",4,0,1,79,3,1125,25
"1366","belgium","antwerp","2020-05-27",31167235,"Neerland",51.16269,4.38867,"House","Private room",1,1,1,50,1,3,30
"1367","belgium","antwerp","2020-05-27",31188861,"Dam",51.23511,4.42612,"Apartment","Private room",2,1,2,49,1,1125,0
"1368","belgium","antwerp","2020-05-27",31189105,"Dam",51.23521,4.42644,"Apartment","Private room",2,1,2,49,1,1125,0
"1369","belgium","antwerp","2020-05-27",31189182,"Dam",51.23635,4.42798,"Apartment","Private room",2,1,2,49,1,1125,0
"1370","belgium","antwerp","2020-05-27",31189250,"Dam",51.23529,4.4276,"Apartment","Private room",3,1,3,49,1,1125,0
"1371","belgium","antwerp","2020-05-27",31189359,"Dam",51.23475,4.42768,"Apartment","Private room",2,1,2,49,1,1125,0
"1372","belgium","antwerp","2020-05-27",31189399,"Dam",51.23537,4.4278,"Apartment","Private room",4,1,2,49,1,1125,0
"1373","belgium","antwerp","2020-05-27",31189444,"Dam",51.23536,4.42622,"Apartment","Private room",3,1,2,49,1,1125,0
"1374","belgium","antwerp","2020-05-27",31189470,"Dam",51.23535,4.42687,"Apartment","Private room",4,1,3,49,1,1125,0
"1375","belgium","antwerp","2020-05-27",31190180,"Kiel",51.18859,4.38413,"Apartment","Private room",1,1,1,60,2,1125,29
